,State,County,City,Median Sale Price,Date,Month,Year
24038,California,"San Francisco, CA",San Francisco,1302000.0,5/1/2017,5,2017
24141,California,"San Mateo, CA",San Mateo,1288000.0,10/1/2017,10,2017
24167,California,"San Mateo, CA",San Mateo,1379000.0,11/1/2017,11,2017
24186,California,"San Mateo, CA",San Mateo,1405000.0,12/1/2017,12,2017
24398,California,"Napa, CA",Napa,640000.0,10/1/2018,10,2018
24429,California,"San Francisco, CA",San Francisco,1340000.0,11/1/2018,11,2018
24489,California,"San Mateo, CA",San Mateo,1185000.0,2/1/2019,2,2019
24490,California,"San Francisco, CA",San Francisco,1311000.0,2/1/2019,2,2019
24570,California,"San Mateo, CA",San Mateo,1450000.0,10/1/2018,10,2018
24629,California,"San Francisco, CA",San Francisco,1200000.0,8/1/2015,8,2015
24723,California,"San Mateo, CA",San Mateo,1022000.0,12/1/2015,12,2015
24764,California,"San Mateo, CA",San Mateo,1085000.0,2/1/2016,2,2016
25005,California,"San Francisco, CA",San Francisco,1200000.0,12/1/2016,12,2016
25115,California,"San Mateo, CA",San Mateo,1250000.0,4/1/2017,4,2017
25155,California,"Napa, CA",Napa,630000.0,7/1/2017,7,2017
25177,California,"San Francisco, CA",San Francisco,1288000.0,7/1/2017,7,2017
25269,California,"Napa, CA",Napa,649000.0,11/1/2017,11,2017
25374,California,"San Mateo, CA",San Mateo,1443000.0,3/1/2018,3,2018
25400,California,"San Mateo, CA",San Mateo,1470000.0,4/1/2018,4,2018
25584,California,"Napa, CA",Napa,641000.0,11/1/2018,11,2018
25599,California,"San Mateo, CA",San Mateo,1489000.0,11/1/2018,11,2018
25629,California,"Santa Clara, CA",Santa Clara,1193000.0,12/1/2018,12,2018
25755,California,"San Francisco, CA",San Francisco,1150000.0,12/1/2015,12,2015
25891,California,"Alameda, CA",Alameda,879000.0,10/1/2016,10,2016
25980,California,"San Francisco, CA",San Francisco,1242000.0,3/1/2017,3,2017
